"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"Obi-Wan Kenobi - Another One Bites The Dust","The Critical Drinker","Entertainment",2022-06-27 22:30:12,1171952,88309,0,13256,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","3"
2022-07-01,"THE INVITATION – Official Trailer (HD)","Sony Pictures Entertainment","Film and Animation",2022-06-27 16:00:06,3193103,4253,0,431,FALSE,FALSE,FALSE,16,"3pm to 12am","Monday","4"
2022-07-01,"Who Is The BEST at Fall Guys in PWR!?","PWR","Gaming",2022-06-27 17:06:04,545194,27428,0,656,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","4"
2022-07-01,"Giant Balloon Sandwich in Slow Motion - The Slow Mo Guys","The Slow Mo Guys","Entertainment",2022-06-27 16:36:38,972711,54417,0,2479,FALSE,FALSE,FALSE,16,"3pm to 12am","Monday","4"
2022-07-01,"our hands are too small for this - 10 Minute Power Hour","The Grumps","Comedy",2022-06-27 17:00:26,347849,23709,0,881,FALSE,FALSE,FALSE,17,"3pm to 12am","Monday","4"
2022-07-01,"Moist ASMR (ft.@penguinz0)","Jojo's ASMR","Entertainment",2022-06-27 22:00:14,481610,46054,0,3683,FALSE,FALSE,FALSE,22,"3pm to 12am","Monday","3"
2022-07-01,"All Or Nothing: Arsenal | First Look Trailer","Amazon Prime Video Sport","Sports",2022-06-28 15:00:06,390759,9836,0,1359,FALSE,FALSE,FALSE,15,"8am to 3pm","Tuesday","3"
2022-07-01,"UFC 276 Embedded: Vlog Series - Episode 2","UFC - Ultimate Fighting Championship","Sports",2022-06-28 18:25:30,834225,16255,0,1606,FALSE,FALSE,FALSE,18,"3pm to 12am","Tuesday","3"
2022-07-01,"10 Game Discoveries Never Meant to Be Found - Part V","oddheader","Gaming",2022-06-27 15:00:12,437119,31605,0,1483,FALSE,FALSE,FALSE,15,"8am to 3pm","Monday","4"
2022-07-01,"NAYEON “POP!” Performance Video","TWICE","Music",2022-06-27 15:00:00,3668064,382558,0,7759,FALSE,FALSE,FALSE,15,"8am to 3pm","Monday","4"
2022-07-01,"Latto Suprises Fans With Mariah Carey At Her BET Performance | BET Awards '22","BETNetworks","Entertainment",2022-06-27 02:49:55,1935865,57885,0,4568,FALSE,FALSE,FALSE,2,"12am to 8am","Monday","4"
